investor_id,investor_name,startup_id,startup_name,round_stage,announced_date,amount_usd,currency,is_lead,source_url,notes
aceleradora_litoral,Aceleradora Litoral,biosynaptica,BioSynaptica,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists BioSynaptica; upgraded from historical graph to official portfolio evidence.
aceleradora_litoral,Aceleradora Litoral,bioheuris,Bioheuris,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists Bioheuris; upgraded from historical graph to official portfolio evidence.
aceleradora_litoral,Aceleradora Litoral,inbioar,Inbioar,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists Inbioar; upgraded from historical graph to official portfolio evidence.
aceleradora_litoral,Aceleradora Litoral,infira,Infira,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists Infira; upgraded from historical graph to official portfolio evidence.
aceleradora_litoral,Aceleradora Litoral,nairotech,Nairotech,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists Nairotech; upgraded from historical graph to official portfolio evidence.
aceleradora_litoral,Aceleradora Litoral,seedmatriz,SeedMatriz,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists SeedMatriz; upgraded from historical graph to official portfolio evidence.
aceleradora_litoral,Aceleradora Litoral,untech,UnTech,,,,USD,,source: https://www.aceleradoralitoral.com.ar/portfolio/ | Aceleradora Litoral official portfolio page lists UnTech; upgraded from historical graph to official portfolio evidence.
Antom,Antom,eiru,Eirú,,,,USD,,source: https://www.antom.la/portfolio-projects-en | Antom official portfolio page lists this project. Matched as Eirú.
Antom,Antom,poas_bioenergy,Poás Bioenergy,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
CITES,CITES,ardan,Ardan,,,,USD,,source: https://cites-gss.com/en/portfolio/ardan-en/ | CITES official portfolio page profiles Ardan. Matched as Ardan.
CITES,CITES,bioseek,Bioseek,,,,USD,,source: https://cites-gss.com/en/portfolio/bioseek-2/ | CITES official portfolio page profiles Bioseek. Matched as Bioseek.
CITES,CITES,circa_therapeutics,Circa Therapeutics,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
CITES,CITES,ergo_bioscience,Ergo Bioscience,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
CITES,CITES,imvalv,Imvalv,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
CITES,CITES,pepton,Pepton,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
CITES,CITES,phylumtech,PhylumTech,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
CITES,CITES,single_strand_biotech,Single Strand Biotech,,,,USD,,source: latam_coinvest_network_v3.graphml | GraphML edge direction is not assumed canonical
chileglobal_ventures,ChileGlobal Ventures,agrourbana,Agrourbana,,,,USD,,source: https://chileglobalventures.cl/en/portfolio/agrourbana/ | ChileGlobal Ventures official portfolio profile lists Agrourbana.
chileglobal_ventures,ChileGlobal Ventures,matchetune,Matchetune,,,,USD,,source: https://chileglobalventures.cl/portafolio/matchetune/ | ChileGlobal Ventures official portfolio profile lists Matchetune.
